A Rush Of Blood To The Head,A Rush of Blood to the Head,British Rock,Coldplay,15,50,England,38,English,ARushOfBloodToTheHead
Clocks,A Rush of Blood to the Head,British Rock,Coldplay,15,50,England,39,English,Clocks
Fix You,X&Y,British Rock,Coldplay,15,50,England,45,English,FixYou
The Scientist,A Rush of Blood to the Head,British Rock,Coldplay,15,50,England,43,English,TheScientist
Yellow,Parachutes,British Rock,Coldplay,15,50,England,34,English,Yellow
Viva la Vida,Viva la Vida or Death and All His Friends,British Rock,Coldplay,15,50,England,31,English,VivaLaVida
Photograph,Multiply,Pop,Ed Sheeran,15,50,England,57,English,Photograph
Thinking Out Loud,Multiply,Pop,Ed Sheeran,15,50,England,44,English,ThinkingOutLoud
Shape Of You,Divide,Pop,Ed Sheeran,15,50,England,66,English,ShapeOfYou
Castle on the Hill,Divide,Pop,Ed Sheeran,15,50,England,45,English,CastleOnTheHill
Mamma Mia,ABBA,Pop,ABBA,15,80,Sweden,50,English,MammaMia
Money Money Money,ABBA,Pop,ABBA,15,80,Sweden,46,English,MoneyMoneyMoney
Dancing Queen,Arrival,Pop,ABBA,15,80,Sweden,45,English,DancingQueen
Take a Chance on Me,Arrival,Pop,ABBA,15,80,Sweden,54,English,TakeAChanceOnMe
We are strong,Climate Change,Hip Hop,PitBull,18,40,US,26,English,WeAreStrong
Shake It Off,1989,Pop,Taylor Swift,12,40,US,56,English,ShakeItOff
I Feel It Coming,Starboy,Hip Hop,The Weeknd,15,50,US,39,English,IFeelItComing
Can't Feel My Face ,Beauty Behind the Madness,Hip Hop,The Weeknd,15,50,US,49,English,CantFeelMyFace
Rivers of Babylon,Nightflight To Venus,Disco,Boney M,8,80,US,56,English,RiversOfBabylon
Rasputin,Nightflight To Venus,Disco,Boney M,8,80,US,61,English,Rasputin
Hey Jude,Past Masters,Rock,Beatles,10,80,US,57,English,HeyJude
Hello Goodbye,Magical Mystery Tour,Rock,Beatles,10,80,US,53,English,HelloGoodbye
Noorondu Nenapu,bandhana,Film,SP Balasubramanium,15,80,India,30,Kannada,NooronduNenapu
Elleli Nodali,Naa Ninna Mareyalare,Film,Rajkumar,15,80,India,23,Kannada,ElleliNodali
Olave Jeevana,Sakshatkara,Film,P. B. Sreenivas,15,80,India,68,Kannada,OlaveJeevana
Narayana Ninna smaraneya,None,Carnatic,Purandara Dasa,10,90,India,45,Kannada,NarayanaNinnaSmaraneya
Jiya Jale,Dil Se,All Time Favourites,Lata Mangeshkar,10,70,India,55,Hindi,JiyaJale
Chaiyya Chaiyya,Dil Se,All Time Favourites,Sukhwinder Singh,10,70,India,34,Hindi,ChaiyyaChaiyya
Baazigar O Baazigar,Baazigar,All Time Favourites,Alka Yagnik,10,70,India,44,Hindi,BaazigarOBaazigar
Mehndi Laga Ke Rakhna,Dilwale Dulhaniya Le Jayenge,All Time Favourites,Lata Mangeshkar,10,70,India,53,Hindi,MehndiLagaKeRakhna
Kala Chashma,Baar Baar Dekho,Filmy,Badshah,15,45,India,35,Hindi,KalaChashma
Channa Mereya,Ae Dil Hai Mushkil,Filmy,Arijit Singh,12,50,India,67,Hindi,ChannaMereya
Dekha Hazaro Dafaa,Rustom,Melody,Arijit Singh,12,60,India,34,Hindi,DekhaHazaroDafaa
Bol Do Na Zara,Azhar,Melody,Armaan Malik,12,60,India,45,Hindi,BolDoNaZara
Sau Asmaan,Baar Baar Dekho,Melody,Armaan Malik,12,60,India,56,Hindi,SauAsmaan
Hosanna,Ek Deewana Tha,Melody,A R Rahman,10,50,India,43,Hindi,Hosanna
Rehna Tu,Delhi 6,Melody,A R Rahman,10,50,India,46,Hindi,RehnaTu
Saathiya,Saathiya,All Time Favourites,A R Rahman,10,50,India,39,Hindi,Saathiya
Masakali,Delhi 6,Melody,A R Rahman,10,50,India,46,Hindi,Masakali
Jai Ho,Slumdog Millionare,Filmy,A R Rahman,10,50,India,34,Hindi,JaiHo
Barso Re,Guru,Filmy,A R Rahman,10,50,India,24,Hindi,BarsoRe
Roobaroo,Rang De Basanthi,Filmy,A R Rahman,10,50,India,46,Hindi,Roobaroo
Radha Kaise Na Jale,Lagaan,All Time Favourites,A R Rahman,8,70,India,65,Hindi,RadhaKaiseNaJale
Manwa Laage,Happy New Year,Melody,Arijit Singh,10,50,India,56,Hindi,ManwaLaage
Saibo,Shor In The City,Melody,Shreya Ghoshal,10,50,India,49,Hindi,Saibo
Love is a Waste of time,PK,Filmy,Shreya Ghoshal,10,50,India,30,Hindi,LoveISAWasteOfTime
Bahara,I Hate Luv Stories,Melody,Shreya Ghoshal,10,50,India,38,Hindi,Bahara
Deewani Mastani,Bajirao Mastani,Filmy,Shreya Ghoshal,10,50,India,45,Hindi,DeewaniMastani
O Rey Chori,Lagaan,All Time Favourites,Alka Yagnik,8,70,India,23,Hindi,OReyChori
Mitwa,Lagaan,All Time Favourites,Alka Yagnik,8,70,India,24,Hindi,Mitwa
Aankhon hi aankhon mein,CID,All Time Favourites,Geeta Dutt,10,85,India,25,Hindi,AankhonHiAankhonMein
Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Filmy,Arijit Singh,10,85,India,54,Hindi,AeDilHaiMushkil
Ajeeb dastan hai yeah,Dil Apna Aur Preet Parai,All Time Favourites,Lata Mangeshkar,10,85,India,45,Hindi,AjeebDastanHaiYeah
